event_id,schema_version,run_id,scenario,sequence_no,round_no,attempt_no,attack_type,target,payload,request_started_at,response_received_at,emitted_at,kafka_received_at,persisted_at,http_status,ground_truth_success,response_excerpt,error,dynamic_factor,impact,attack_complexity,risk_level,risk_score,kafka_topic,kafka_partition,kafka_offset,probe_latency_ms,pipeline_latency_ms,end_to_end_latency_ms
ff4c0659-3222-4f3b-965b-f487e11c9110,2,ablation-B-20260713-220657,B_waf_enabled,428,428,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.63432,1783951712.6451507,1783951712.6451752,1783951712.6531975,1783951712.6532,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,1,2116,10.83064079284668,8.02469253540039,18.87989044189453
b12daa19-f1b7-4a11-a794-aa3e387ab808,2,ablation-B-20260713-220657,B_waf_enabled,429,429,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.652885,1783951712.6656985,1783951712.66574,1783951712.6789975,1783951712.6790025,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,1,2117,12.813568115234375,13.262510299682617,26.117563247680664
2e561c63-f2af-4cdc-bb6f-9b28e8e9f1fb,2,ablation-B-20260713-220657,B_waf_enabled,430,430,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.679499,1783951712.687927,1783951712.6879692,1783951712.6978796,1783951712.6978822,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,0,2061,8.428096771240234,9.912967681884766,18.383264541625977
0c8a7b26-c3ca-4af2-a142-f8d3167f1774,2,ablation-B-20260713-220657,B_waf_enabled,431,431,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.697892,1783951712.7025044,1783951712.70261,1783951712.7127712,1783951712.7127733,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,0,2062,4.612445831298828,10.163307189941406,14.881372451782227
521b5af5-8df4-491e-ab57-a0922c7d3796,2,ablation-B-20260713-220657,B_waf_enabled,432,432,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.7141607,1783951712.7197168,1783951712.719746,1783951712.7292466,1783951712.729249,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,1,2118,5.5561065673828125,9.502887725830078,15.088319778442383
13e324d7-448b-4769-8a72-e86460cd62a4,2,ablation-B-20260713-220657,B_waf_enabled,433,433,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.7298343,1783951712.7352207,1783951712.7352455,1783951712.7429013,1783951712.7429035,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,0,2063,5.3863525390625,7.6580047607421875,13.06915283203125
b2be7238-80e1-4179-8ceb-20dff49a133b,2,ablation-B-20260713-220657,B_waf_enabled,434,434,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.7436595,1783951712.7514088,1783951712.7514446,1783951712.7637334,1783951712.7637362,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2060,7.749319076538086,12.291669845581055,20.076751708984375
dce4c3b0-90a6-426b-87a7-23f13c8670c2,2,ablation-B-20260713-220657,B_waf_enabled,435,435,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.7642722,1783951712.7754114,1783951712.7754445,1783951712.7848852,1783951712.784888,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2061,11.139154434204102,9.443521499633789,20.615816116333008
7326d516-2133-4441-9ccf-65522b17aedf,2,ablation-B-20260713-220657,B_waf_enabled,436,436,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.7825098,1783951712.7866874,1783951712.7867148,1783951712.797409,1783951712.7974114,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2062,4.177570343017578,10.696649551391602,14.90163803100586
fb4ab6de-3c54-47ff-b9dc-c8a95cca6e41,2,ablation-B-20260713-220657,B_waf_enabled,437,437,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.7979028,1783951712.8073046,1783951712.807346,1783951712.817003,1783951712.8170066,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,1,2119,9.401798248291016,9.660482406616211,19.1037654876709
c18fb5fc-77b1-4f15-ad41-6e541ec22232,2,ablation-B-20260713-220657,B_waf_enabled,438,438,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.8166053,1783951712.8274016,1783951712.8274302,1783951712.8412795,1783951712.8412855,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,1,2120,10.796308517456055,13.855218887329102,24.680137634277344
49fb7177-25ec-4d3c-8253-1336164c8690,2,ablation-B-20260713-220657,B_waf_enabled,439,439,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.851425,1783951712.857501,1783951712.8575401,1783951712.8651938,1783951712.865196,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,0,2064,6.07609748840332,7.655858993530273,13.77105712890625
2891ae2b-44a3-4d70-bf86-bd3635e185d5,2,ablation-B-20260713-220657,B_waf_enabled,440,440,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.865117,1783951712.876304,1783951712.8784626,1783951712.8975165,1783951712.8975213,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,0,2065,11.186838150024414,19.058704376220703,32.404184341430664
